Título,URL,Descrição,Palavras-chave,Habilidade(s) - BNCC,Tipos de Mídias,Disciplina,Temas Curriculares,Temas Transversais,"Etapas, anos e modalidades",Licenças de Uso,Idioma,Acessibilidade,Conectividade,Oferecido por,Produzido por,Etnias indígenas,Anos escolar,ID (não editar)
  [Categorias Literárias] A BibVirt: parte 1 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2598/A%20BibVirt%20parte%201%20%5bCategorias%20Liter%C3%A1rias%5d.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que aborda as características particulares da Biblioteca do estudante de Língua Portuguesa (BibVirt). O filólogo Antônio Houaiss fala sobre o fenômeno da explosão lexical.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9764669702d65e2220000
  [Categorias Literárias] A BibVirt: parte 2 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2599/A%20BibVirt%20parte%202%20%20%5bCategorias%20Liter%C3%A1rias%5d.mp3?sequence=1,"Episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), esclarece as dúvidas mais frequentes sobre o portal BibVirt. Apresenta descrição detalhada dos metadados do site. Descreve as características dos livros em áudio. Apresenta, ainda, os dois maiores colaboradores do site, a Fundação Dorina Nowill e a Comunidade Shalom – Liga Israelita do Brasil. Também narra trecho do livro “Dom Casmurro”, de Machado de Assis.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9764569702d65e2210000
  [Categorias Literárias] A BibVirt: parte 3 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2600/A%20BibVirt%20parte%203%20%20%5bCategorias%20Liter%C3%A1rias%5d.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b94d3869702d490a2d2000
  [Categorias Literárias] A descoberta do conto:  A usina atrás do morro: parte 2,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2745/131_A%20usina%20atr%c3%a1s%20do%20morro%20%282%29.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual do estudante de Língua Portuguesa (BibVirt), apresenta parte do conto de José J. Veiga, “A usina atrás do morro”. Incentiva o hábito de leitura, envolve o leitor numa leitura prazerosa, e é possível propor análise das classes gramaticais.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b94d3869702d490a2e2000
  [Categorias Literárias] A descoberta do conto:  A usina atrás do morro: parte 3 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2751/132_A%20usina%20atr%c3%a1s%20do%20morro%20%283%29.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual do estudante de Língua Portuguesa (BibVirt), apresenta parte do conto de José J. Veiga, “A usina atrás do morro”. Contextualizar leitura, interpretação de texto e produção oral e escrita. Elaborar textos observando aspectos gramaticais. Relacionar texto e contexto.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b94c3a69702d490ab91e00
  [Categorias Literárias] A descoberta do conto:  A usina atrás do morro: parte 4 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2755/133_A%20usina%20atr%c3%a1s%20do%20morro%20%284%29.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual do estudante de Língua Portuguesa (BibVirt), apresenta parte do conto de José J. Veiga, “A usina atrás do morro”. Apresentar os elementos básicos da narrativa. Propor a interação entre leitor e livro. Explorar as potencialidades do leitor por meio da produção escrita.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9880c69702d77f7cf0000
  [Categorias Literárias] A descoberta do conto: A igreja do diabo: parte 1 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2607,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual do estudante de Língua Portuguesa (BibVirt), o qual apresenta a primeira parte do conto “A igreja do diabo”, de Machado de Assis.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b94c4a69702d490aca1e00
  [Categorias Literárias] A descoberta do conto: A igreja do diabo: parte 2 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2608,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual do estudante de Língua Portuguesa (BibVirt), apresenta segunda parte do conto “A igreja do diabo”, de Machado de Assis.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b94c4b69702d490acc1e00
  [Categorias Literárias] A descoberta do conto: A usina atrás do morro: parte 1,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2744/130_A%20Usina%20atras%20do%20Morro_1.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual do estudante de Língua Portuguesa (BibVirt), apresenta parte do conto de José J. Veiga, “A usina atrás do morro”.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b94d3769702d490a2c2000
  [Categorias Literárias] A descoberta do conto: Além do muro: parte 1 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2621,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte do conto “Além do muro”, de Davi Oscar Vaz.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9887569702d77f7380100
  [Categorias Literárias] A descoberta do conto: Além do muro: parte 2 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2620 ,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte do conto “Além do muro”, de Davi Oscar Vaz.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b94d3669702d490a2b2000
  [Categorias Literárias] A descoberta do conto: Além do muro: parte 3 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2644,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte do conto “Além do muro”, de Davi Oscar Vaz.",Fundamental II - 8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9880c69702d77f7cf0000
  [Categorias Literárias] A descoberta do conto: Além do muro: parte 4 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2646,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte do conto “Além do muro”, de Davi Oscar Vaz.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b987f569702d77f7b30000
  [Categorias Literárias] A descoberta do conto: Além do muro: parte 5 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2648,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte do conto “Além do muro”, de Davi Oscar Vaz.",Fundamental II -8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b949a169702d490a361c00
  [Categorias Literárias] A descoberta do conto: Além do muro: parte 6 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2651,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte do conto “Além do muro”, de Davi Oscar Vaz.",Fundamental II -8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9484869702d490ac01a00
  [Categorias Literárias] A descoberta do conto: Além do muro: parte 7 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2653,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte do conto “Além do muro”, de Davi Oscar Vaz.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b94d3769702d490a2c2000
  [Categorias Literárias] A descoberta do conto: Além do muro: parte 8 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2655,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de português (BibVirt), apresenta parte do conto “Além do muro”, de Davi Oscar Vaz.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9474169702d490a781900
  [Categorias Literárias] A descoberta do conto: Além do muro: parte 9 ,http://objetoseducacionais2.mec.gov.br/handle/mec/2657,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte do conto “Além do muro”, de Davi Oscar Vaz.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9487369702d490af41a00
  [Categorias Literárias] A descoberta do conto: As cerejas: parte 2 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2689/,"Áudio que narra o segundo episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), o qual apresenta a segunda parte do conto “As cerejas”, de Lygia Fagundes Telles.",Fundamental II -  8º/9º,"(EF08LP32)(EF08LP34)
 (EF09LP36)(EF09LP41)",Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,8º ano; 9º ano,54b9796c69702d65e2280400
